u,v,d
65348994,65329950,6061.625922432358
65289317,1735947596,7729.811251136723
65299682,65317795,8257.513505171093
65314554,65296340,4022.8000052708144
3112129879,65345552,6630.232865065398
1511324868,65342081,6520.655847037983
65295239,65353935,9604.194697873885
420519156,65303960,11405.44977975002
65305004,2920416778,8499.682044219144
65361396,4188186119,5128.604868608655
65328710,65337317,9489.71558528603
65319923,65294542,4708.94231493473
258967888,65324849,1612.8554267159657
65303495,11063934687,6862.236850305411
65295108,4086113592,6134.903964993399
4022924674,12103237274,10106.873467497056
65350991,65314247,1591.4576527254137
65293542,65322752,7031.7687000052565
65317601,65335441,7087.435577213945
65334900,65307381,8903.081486212617
4022924683,65325142,10615.995874815238
9462895025,4023087072,11782.670851787376
65319805,65344086,5198.967498822301
65335413,65337478,2937.2928528891753
6456587008,65364086,9025.282519712482
65316502,65346661,9230.959608218454
65297053,65345368,8690.731856623335
1614176407,9691602680,7078.552475672665
65303556,258911650,6798.037332233194
65360919,65322779,2796.8592102235853
1677788988,65287881,9216.960448867516
315422929,65344023,2837.542701145514
65298894,2933665486,12383.643414033575
4002286830,911547144,6900.119071911204
12128704827,317353055,5385.661556686078
65287762,8292175322,634.5205321405009
65293491,65299313,5073.91328363464
11343312071,65297486,11112.356786901299
65303340,65352253,3182.5977395624172
65314924,65305549,2794.1958902572674
65322701,1501114834,7840.815575070837
65307461,65279893,11109.565816253215
65310495,259138838,2021.812995077278
2882819847,65308530,4090.7892095377238
338897049,65299139,5780.4337624807995
65297014,65337478,9617.585950169047
65303091,65307943,4765.942337446314
65352661,276805752,2789.2919985737603
761795205,65315486,10211.676695857052
65322719,65339521,358.39957409302303
65318037,65327095,4021.374313051561
65296001,4904249925,15500.370162913776
65321072,65282414,13680.430102753411
65350995,65345195,8838.313198876689
258910909,9470669678,5638.553216795856
65311878,65295442,11347.578906982819
65343810,65349383,4212.631408468973
4008988320,65350919,11571.856907372388
302035013,65335413,6976.447297482926
6910182909,65349439,9429.167877937438
65329843,1201390929,9255.801563077192
65303250,423748901,6967.796671329769
65334467,65359194,2779.289436088971
1712523413,65308685,2242.709782260354
65315440,65313342,2500.175483768458
6469349750,65312670,11543.129617232787
258912653,65293437,5621.710021320027
65347431,65305725,2563.394996244091
65347655,2392273472,8376.578955174145
1501114834,65315399,4566.114803830568
258911637,65345881,6352.351011667791
65317481,65355978,5145.772562655376
65311766,258757440,6807.291863500642
65293751,5027208674,8166.2578591770425
65290785,764912790,10015.170836554807
300759042,65295607,9023.554885448833
65375711,65322715,11197.544883335107
9880225727,258972779,7181.061597144154
65319616,65339315,3297.304399702912
258757617,65305881,13441.944266742505
65307448,65303632,4541.771680865559
313867979,275511794,6302.032800345906
65332546,258755847,1473.495465782043
65337852,5826304534,3302.2125460936422
4000209750,65282263,2612.346091425804
65336672,5352470014,2961.296178985399
1211594145,65312436,5945.284289876342
298938950,259390352,1537.0433519687385
286082304,65336865,5665.134296959349
9531429371,65322795,14457.777444165806
